Name,Markets Seeking,Locations Seeking
Samrat Jeyaprakash,"Consumer Internet,Digital Media,Marketplaces,Online Travel,Social Commerce,Social Travel","Earth,Europe,New York City,San Francisco"
Meeta Gournay,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile,Technology","London,New York City"
David Su,Information Technology,"Palo Alto,Silicon Valley"
Jon Hallett,"Cloud Computing,Consulting,Content Discovery,Enterprise Software,Google Apps,Mobile Security,Privacy,SaaS,Security","Atlanta,United States"
Frank Chen,,
Bojan Kahvedzic,"Advertising Platforms,Android,Collaboration,E-Commerce,Enterprise Software,Games,Group Buying,Mobile,Mobile Games,Productivity Software,Social Media,Twitter Applications,iPhone","Europe,Los Angeles,Menlo Park,New York,North America,Palo Alto,Silicon Valley,South America"
Peter Pham,"Advertising Platforms,Beauty,Bridging Online and Offline,Consumer Internet,Coupons,Digital Media,E-Commerce,Events,Fashion,Film Distribution,Food and Beverages,Internet TV,Lead Generation,Marketplaces,Mobile,Online Dating,Online Scheduling,Online Shopping,Pets,SaaS,Sales and Marketing,Social Commerce,Social Media,Subscription Businesses,Video","California,Los Angeles,Menlo Park,San Francisco,Santa Monica,Silicon Valley,Southern California"
Steve Baloff,"Analytics,Big Data Analytics,Consumer Internet,Content Delivery,Content Syndication,E-Commerce,Enterprise Software,Gamification,Legal,Local Based Services,Loyalty Programs,Mobile,Mobile Analytics,Mobile Enterprise,PaaS,Payments,Predictive Analytics,Reputation,SaaS,Sales and Marketing,Social CRM,Social Games,Social Media,Supply Chain Management,Video Streaming","Denver,Los Angeles,Palo Alto,Portland,Salt Lake City,Seattle,Silicon Valley"
Hilary Mason,Big Data,New York City
Gokul Rajaram,"Advertising,Advertising Platforms,Analytics,Android,Big Data,Bridging Online and Offline,Business Services,CRM,Cloud Computing,Consumer Goods,Consumer Internet,Crowdsourcing,Digital Media,E-Commerce,Enterprise Software,Finance,Financial Services,Health Care Information Technology,Infrastructure,Internet Infrastructure,Lead Generation,Mobile,Mobile Advertising,Mobile Commerce,Mobile Games,Mobile Infrastructure,Online Travel,Operating Systems,Payments,Personal Health,Productivity Software,Reviews and Recommendations,SaaS,Sales and Marketing,Small and Medium Businesses,Social Commerce,Social Games,Social Media,Ventures for Good,iOS","Boston,New York City,Silicon Valley,Southern California"
Rishi Nangalia,"Finance Technology,Financial Exchanges,Financial Services,Personal Finance,Sports","Calcutta,New York City"
Maha Ibrahim,"Analytics,Consumer Internet,Data Centers,Developer APIs,Digital Media,Internet Infrastructure,Mobile,Networking,Real Time,SaaS,Social Games,Social Media,Virtualization,Wireless","Hillsborough,Los Angeles,New York,North America,Silicon Valley"
Bastiaan Janmaat,"Collaborative Consumption,Consumer Internet,Enterprise Software,Financial Services","Palo Alto,San Francisco,Stanford"
Taylor Davidson,"Advertising,Advertising Platforms,Analytics,Big Data,Big Data Analytics,Consumer Internet,Data Visualization,Design,Digital Media,Mobile,Mobile Advertising,Online Video Advertising,Photography,Platforms","Massachusetts,New Orleans,New York,New York City,Pittsburgh,Silicon Valley,Washington DC"
Felix Shpilman,"All Markets,Analytics,Big Data,Cloud Computing,Consumer Internet,Data Mining,Digital Media,E-Commerce,Enterprise Software,Facebook Applications,Mobile,Publishing,SaaS,Social Media","Earth,San Francisco,Silicon Valley"
Josh Elman,"Advertising Platforms,Analytics,Consumer Internet,Crowdsourcing,Custom Retail,Digital Media,E-Commerce,Education,Edutainment,Email Newsletters,Entertainment,Marketplaces,Mobile,Mobile Commerce,Mobile Games,News,Parenting,Platforms,Real Estate,Retail,Retail Technology,Reviews and Recommendations,Search,Social Commerce,Social Games,Social Media,Video","Austin,Mountain View,New York City,San Francisco,Seattle,Silicon Valley,Washington"
Albert Ferng,"Clean Technology,E-Commerce,Enterprise Software,Financial Services,Health Care,SaaS,Social Media","Los Angeles,New York City,Tokyo"
Diogo Alves,"Consumer Internet,Entertainment,Incubators,Media,Small and Medium Businesses,Social Media,Startups,Venture Capital","Amsterdam,Barcelona,Berlin,London,Munich"
Bartek Ringwelski,Mobile,"New York,San Francisco,Silicon Valley"
Antonio Talledo,,
JÃ¶rg BinnenbrÃ_cker,,
Benjamin Choukroun,"Brand Marketing,Clean Technology,Collaboration,Consumer Internet,Enterprise Software,Human Resources,Internet of Things,Mobile,Mobile Games,Mobile Health,Quantified Self,Recruiting,Social Games,Social Media","Berlin,Paris,San Francisco,Tel Aviv-yafo"
Ignacio Molins,,
Matt Bornstein,"Analytics,Enterprise Software,Infrastructure,SaaS","Boston,New York City,Palo Alto,San Francisco"
Seth Weissman,"Bridging Online and Offline,Collaborative Consumption,Commercial Real Estate,Consumer Goods,Hospitality,Marketplaces,Mobile,Real Estate,Real Estate Investors,Retail,Social Commerce,Women-Focused","New York,New York City"
James Conlon,"Application Platforms,Apps,Automotive,B2B,Brand Marketing,Business Services,CRM,Collaboration,Consumer Internet,E-Commerce,Enterprise Software,Financial Services,Gambling,Games,Insurance,Lead Generation,Location Based Services,Mobile,Mobile Enterprise,Mobile Games,Online Dating,Parenting,SaaS,Social Media,Subscription Businesses","Chicago,Los Angeles,New York City,Philadelphia,San Francisco,Silicon Valley,United Kingdom"
Michael Goldstein,"Consumer Internet,Digital Media,E-Commerce,Incubators,Marketplaces,Performance Marketing,Sales and Marketing,Subscription Businesses","New York,Silicon Valley,Washington DC"
Jeff Miller,"Algorithms,Analytics,Art,Big Data,Bridging Online and Offline,Cloud Computing,Consumer Internet,Consumers,Crowdsourcing,E-Commerce,Email Newsletters,Finance,Financial Services,Health and Wellness,Information Services,Information Technology,Internet,Location Based Services,Marketplaces,Mobile,Platforms,Recipes,Retail,Reviews and Recommendations,SaaS,Search,Semantic Search,Social Commerce,Social Media,Social Media Platforms,Telecommunications","Boulder,Menlo Park,New York City,Palo Alto,San Francisco,Seattle,Silicon Valley"
Hernan Kazah,,
Christian RÃ_hringer,"Advertising,Angels,Application Platforms,Cloud Computing,Content,Developer Tools,Development Platforms,Digital Media,Domains,E-Commerce,E-Commerce Platforms,Fashion,Information Services,Local Advertising,Music,SaaS,Search,Social Media,Startups,Web Design","Australia,Berlin,Boston,Chicago,Cologne,Frankfurt,Hamburg,London,Los Angeles,Munich,New York,New York City,Nuremberg,San Francisco,Silicon Valley"
Albert Cheng,"Artificial Intelligence,Consumer Internet,Enterprise Software,Mobile,Robotics","New York City,San Francisco,Silicon Valley"
Brian Galgay,,
Howard Schultz,,
Tom Tunguz,"Advertising,Analytics,E-Commerce,Education,Enterprise Software,Entertainment,Fashion,Finance,Health Care,Information Services,Information Technology,Location Based Services,Marketplaces,Media,Platforms,SaaS,Small and Medium Businesses,Social Commerce","Boston,British Columbia,Georgia,Menlo Park,New York,Ohio,Silicon Valley,Southern California,Texas,Utah"
Dave Zilberman,,
Florence Thinh,,"Menlo Park,Oakland,San Francisco"
Jim Marshall,"Consumer Internet,Mobile,Music,SaaS","Menlo Park,San Francisco,Silicon Valley"
Michael A. Finn,,
Shai Goldman,"Advertising,Analytics,Digital Media,E-Commerce,Education,Enterprise Software,Financial Services,Games,Health Care,Information Technology,Mobile,SaaS","Mountain View,New York City,Palo Alto,San Francisco,Silicon Valley"
Gili Raanan,"Beauty,Big Data,Cloud Computing,Cloud Infrastructure,Consumer Internet,Energy Efficiency,Enterprise Security,Enterprise Software,IT Management,IT and Cybersecurity,Internet,Mobile,Mobile Security,Online Gaming,Online Video Advertising,Social Media Platforms,Storage","Europe,Israel"
Steven Widtfeldt,,
Eugenia Koo,"Advertising,Bridging Online and Offline,Crowdsourcing,Digital Media,E-Commerce,Financial Services,Internet,Mobile,Mobile Advertising,Mobile Payments,Photography,Restaurants,Social Media","New York City,United States"
Shauna Mei,,
Insaaf Mohideen,"Cloud Data Services,Cloud Management,Consumer Internet,Crowdfunding,Custom Retail,E-Commerce,Education,Enterprise Software,Families,Fashion,Finance Technology,Financial Exchanges,Financial Services,Flash Sales,Kids,Loyalty Programs,Mass Customization,Mobile,Personal Finance,SaaS,Small and Medium Businesses,Startups,User Experience Design,Web Design,iPad","Los Angeles,Menlo Park,New York,New York City,San Francisco,Santa Clara CA,Santa Monica,Silicon Valley"
Tobias Fezer,,
Craig Walker,"Consumer Internet,Enterprise Software","Danville CA,San Francisco,Silicon Valley"
Nichole Adolpho,,"Baltimore,Honolulu"
Melissa Trahan,"Android,Bitcoin,Clean Technology,Consumer Internet,Enterprise Software,Financial Services,Health Care,Mobile,Product Design,User Experience Design,Web Design,Web Development,iOS","Berlin,London,New York City,San Francisco,Stockholm"
Jason Mendelson,"High Tech,Information Technology","Boulder,United States"
Jacob Mullins,"Advertising,Bridging Online and Offline,Consumer Goods,Consumer Internet,Consumers,Digital Media,Document Management,E-Commerce,Enterprise Software,Games,Legal,Mobile,Mobile Commerce,Mobile Games,Mobile Payments,Photography,Religion,Restaurants,SaaS,Small and Medium Businesses,Social Games,Social Media,Software,Sports,Tablets","Chicago,Los Angeles,Massachusetts,New York,North America,San Francisco,Silicon Valley"
Britney Van Valkenburg,,
Austen Bernstein,"Consumer Internet,Mobile","Los Angeles,New York City"
Nick Sturiale,"Consumer Internet,Enterprise Software,Mobile","Mountain View,Palo Alto,Silicon Valley"
Abby Bristol,"Advertising,Advertising Platforms,Big Data,Career Management,Crowdsourcing,Design,E-Commerce,Enterprise Software,Hardware,Legal,Marketplaces,Mobile,Mobile Advertising,Personalization,Professional Networking,Real Estate,Recruiting,Rental Housing,SaaS,Search,Social Commerce,Social Media,Social Recruiting,Weddings,Women-Focused",Boston
Tim Fong,"Advertising,Big Data,Brand Marketing,Bridging Online and Offline,Comparison Shopping,Consumer Internet,Digital Media,E-Commerce,Early Stage IT,Enterprise Software,Entertainment,Events,Fantasy Sports,Finance Technology,Financial Exchanges,Financial Services,IT Management,IT and Cybersecurity,Investment Management,Local,Loyalty Programs,Mobile,Personal Finance,SaaS,Social Media,Sports,Trading,Visualization","Boston,Chicago,New York City,San Francisco,Silicon Valley"
Joshua Auerbach,"Consumer Internet,E-Commerce,Enterprise Software,Finance Technology,Gift Card,Mobile,Mobile Commerce,Social Media","New York,New York City"
Lukasz Gadowski,"Art,B2B,Collaborative Consumption,Consumer Internet,Content,E-Commerce,Email Newsletters,Flash Sales,Food and Beverages,Lead Generation,Local,Marketplaces,Mobile,Online Travel,Photography,Restaurants,SaaS,Small and Medium Businesses,Social Media","Berlin,Europe,New York,Silicon Valley"
Erik Kjell Bergsagel,"Consumer Internet,Mobile,Personal Finance","New York City,Seattle,Silicon Valley"
Rick Thompson,Consumer Internet,Silicon Valley
Sumeet Jain,"Digital Media,Energy Efficiency,Internet","New York City,San Francisco,Silicon Valley"
Brad Feld,"Cloud Computing,Collaboration,Consumer Internet,Crowdsourcing,E-Commerce,Education,Information Technology,Internet,Mobile,Personal Health,SaaS,Small and Medium Businesses,Social Commerce,Social Media","Austin,Boston,Boulder,Chicago,Colorado,Dallas,Denver,Illinois,Massachusetts,New York,New York City,Portland,Seattle,Silicon Valley,Southern California,Texas,Washington"
Hilary Chidi,"Consumer Internet,Enterprise Software,Mobile","New York City,San Francisco"
Fred Wilson,"Information Technology,Social Media,Social Media Platforms","New York,New York City,Silicon Valley"
Ray Wang,,San Francisco
Amit Garg,Information Technology,"Menlo Park,Silicon Valley"
CÃ©dric KÃ¶hler,,
Brian Potestivo,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile","Detroit,Rochester"
James Ho,,"Boston,San Francisco"
Shanna Tellerman,"Consumer Internet,Enterprise Software,Mobile",San Francisco
Brad Keywell,Information Technology,Chicago
Gianluca Caccamo,,
Jonathan Matus,"Android,Consumer Internet,Development Platforms,Electric Vehicles,Facebook Applications,Mobile,Social Media,iOS","China,Earth,India,Indonesia,Israel,Massachusetts,New York,San Francisco,Silicon Valley,Tokyo"
Windy Chien,,San Francisco
Frederic Hofmann,"Big Data,Consumer Internet,Crowdfunding,Enterprise Software,Financial Services,Investment Management,Social Fundraising,Ventures for Good,Visualization","Europe,New York,Russia"
Ryan Sarver,"Analytics,Application Platforms,Big Data,Consumer Internet,Digital Media,Internet,Internet of Things,Local,Local Businesses,Location Based Services,Marketplaces,Mobile,Platforms,Productivity Software,Sales and Marketing,Small and Medium Businesses,Social Media,Social Media Platforms,Transportation,Travel,iOS","New York,San Francisco,Silicon Valley"
Adil Syed,"Consumer Internet,Enterprise Software,Mobile","Europe,Los Angeles,Massachusetts,New York,North America,Silicon Valley"
Tim Porter,"Analytics,Big Data,Big Data Analytics,Business Analytics,Business Intelligence,Cloud Computing,Cloud Data Services,Enterprise Software,Information Technology,Infrastructure,Mobile,Mobile Security,Networking,PaaS,SaaS,Visualization","British Columbia,Oregon,Portland,Seattle,Vancouver,Washington"
Michael Birch,"Bridging Online and Offline,Collaborative Consumption,College Recruiting,Communications Hardware,Consumer Electronics,Consumer Goods,Consumer Internet,E-Commerce,Education,Electric Vehicles,Fashion,Hardware,Information Technology,Kids,Marketplaces,Mobile,Parenting,Photo Sharing,Politics,Recruiting,Robotics,SaaS,Social Media,Social Recruiting,Transportation","London,San Francisco"
Chaz Flexman,,
Karl Mehta,All Markets,"Earth,India,Silicon Valley,United States"
Ari Jacoby,"Advertising,E-Commerce,Financial Services,SaaS,Security","Boston,Chicago,Los Angeles,New York City,Palo Alto,San Francisco,Silicon Valley"
Richard Muirhead,"Analytics,B2B,Big Data,CRM,Cloud Computing,Cloud Infrastructure,Cloud Management,Consumer Internet,Content,Customer Service,Data Center Automation,Data Center Infrastructure,Digital Media,E-Commerce,Enterprise Software,Entertainment,Food and Beverages,IT Management,Infrastructure,Location Based Services,Marketplaces,Messaging,Mobile,Open Source,Organic Food,Real Time,SaaS,Sales and Marketing,Social Commerce,Social Media,Social Media Platforms,Specialty Foods,Sports,Subscription Businesses,Video,Wine And Spirits","Berlin,East Coast,Europe,London,Middle Atlantic,New York,New York City,North America,Northern California,Paris,San Francisco,Silicon Valley"
Wood Chatham,"Clean Technology,Consumer Internet,Custom Retail,E-Commerce,Food and Beverages,Mobile,Organic,Organic Food,Real Estate,Restaurants,Retail,Retail Technology,Social Media","Chicago,United States"
Josh Guttman,"B2B,Consumer Internet,Digital Media,Enterprise Software,Financial Services,Health Care,Marketplaces,SaaS","New York,New York City"
Stuart West,"College Campuses,Consumers,Education,Entertainment,Information Technology,Media,Platforms,Prediction Markets,Retail,Travel,Ventures for Good","Menlo Park,Silicon Valley"
Evan Liang,"Consumer Internet,Enterprise Software,Mobile","California,Silicon Valley"
Jim Lanzone,"Advertising,Consumer Internet,E-Commerce,Mobile,SaaS,Video","San Francisco,Silicon Valley"
James Fitzgerald,"Big Data Analytics,Consumer Goods,Consumer Internet,E-Commerce,Enterprise Software,Finance Technology,Information Technology,Marketplaces,Mobile,SaaS,Social Commerce,Social Media","New York City,San Francisco,Silicon Valley"
David Wu,"Bridging Online and Offline,Consumer Electronics,Consumer Internet,E-Commerce,Games,Marketplaces,Mobile,Social Commerce","New York,New York City,San Francisco,Seattle,Silicon Valley"
Daniel Dehrey,"Clean Technology,Consumer Internet,Finance Technology,Food and Beverages,Health Care,Mobile",
Calvin Lee,,
Trey Hart,"Consumer Internet,Enterprise Software,Health Care,Mobile,SaaS","Baltimore,Boulder,Chicago,Ohio,San Francisco,Silicon Valley"
Ben Sweat,,
Raphael Cohen æ‹‰æ–êå°”,,
Petri Lehmuskoski,"Android,B2B,Bridging Online and Offline,China Internet,Collaborative Consumption,Consumer Internet,Digital Media,E-Commerce,E-Commerce Platforms,Food and Beverages,Games,ICT,Location Based Services,Marketplaces,Mobile,Mobile Devices,Mobile Games,Publishing,SaaS,Social Commerce,Social Games,Social Media,Translation,Video Games,iOS","Denmark,Estonia,Europe,Finland,Helsinki,Norway,Oulu,Russia,Silicon Valley,Sweden,Tallinn,Tampere,Turku"
